Sample,Time(S),CH1(V)
415,-4.585,-0.254463
416,-4.584,-0.25794
417,-4.583,-0.259679
418,-4.582,-0.261418
419,-4.581,-0.261418
420,-4.58,-0.261418
421,-4.579,-0.261418
422,-4.578,-0.259679
423,-4.577,-0.25794
424,-4.576,-0.25794
425,-4.575,-0.25794
426,-4.574,-0.254463
427,-4.573,-0.254463
428,-4.572,-0.254463
429,-4.571,-0.254463
430,-4.57,-0.254463
431,-4.569,-0.25794
432,-4.568,-0.25794
433,-4.567,-0.261418
434,-4.566,-0.264896
435,-4.565,-0.266634
436,-4.564,-0.270112
437,-4.563,-0.271851
438,-4.562,-0.271851
439,-4.561,-0.271851
440,-4.56,-0.271851
441,-4.559,-0.271851
442,-4.558,-0.270112
443,-4.557,-0.268373
444,-4.556,-0.264896
445,-4.555,-0.259679
446,-4.554,-0.256201
447,-4.553,-0.252724
448,-4.552,-0.244029
449,-4.551,-0.237074
450,-4.55,-0.22838
451,-4.549,-0.217947
452,-4.548,-0.210991
453,-4.547,-0.19708
454,-4.546,-0.186647
455,-4.545,-0.172737
456,-4.544,-0.158826
457,-4.543,-0.144915
458,-4.542,-0.131004
459,-4.541,-0.115354
460,-4.54,-0.0997048
461,-4.539,-0.085794
462,-4.538,-0.0701443
463,-4.537,-0.0544947
464,-4.536,-0.0405839
465,-4.535,-0.0266731
466,-4.534,-0.0127622
467,-4.533,-0.000590291
468,-4.532,0.00984281
469,-4.531,0.0220148
470,-4.53,0.0324479
471,-4.529,0.0446198
472,-4.528,0.0550529
473,-4.527,0.0689637
474,-4.526,0.0793968
475,-4.525,0.0898299
476,-4.524,0.103741
477,-4.523,0.117652
478,-4.522,0.129824
479,-4.521,0.143734
480,-4.52,0.155906
481,-4.519,0.171556
482,-4.518,0.183728
483,-4.517,0.197639
484,-4.516,0.208072
485,-4.515,0.218505
486,-4.514,0.228938
487,-4.513,0.235893
488,-4.512,0.244588
489,-4.511,0.251543
490,-4.51,0.25676
491,-4.509,0.263715
492,-4.508,0.267193
493,-4.507,0.27067
494,-4.506,0.274148
495,-4.505,0.275887
496,-4.504,0.279365
497,-4.503,0.281104
498,-4.502,0.282842
499,-4.501,0.282842
500,-4.5,0.284581
501,-4.499,0.288059
502,-4.498,0.291537
503,-4.497,0.291537
504,-4.496,0.293275
505,-4.495,0.295014
506,-4.494,0.295014
507,-4.493,0.298492
508,-4.492,0.300231
509,-4.491,0.303709
510,-4.49,0.305447
511,-4.489,0.308925
512,-4.488,0.310664
513,-4.487,0.315881
514,-4.486,0.315881
515,-4.485,0.319358
516,-4.484,0.322836
517,-4.483,0.324575
518,-4.482,0.324575
519,-4.481,0.326314
520,-4.48,0.329791
521,-4.479,0.329791
522,-4.478,0.33153
523,-4.477,0.33153
524,-4.476,0.335008
525,-4.475,0.340224
526,-4.474,0.343702
527,-4.473,0.34718
528,-4.472,0.352396
529,-4.471,0.357613
530,-4.47,0.364568
531,-4.469,0.369785
532,-4.468,0.373263
533,-4.467,0.37674
534,-4.466,0.380218
535,-4.465,0.383696
536,-4.464,0.387173
537,-4.463,0.388912
538,-4.462,0.388912
539,-4.461,0.39239
540,-4.46,0.390651
541,-4.459,0.394129
542,-4.458,0.394129
543,-4.457,0.394129
544,-4.456,0.394129
545,-4.455,0.390651
