Sample,Time(S),CH1(V)
480,-4.52,-0.0231954
481,-4.519,-0.0197176
482,-4.518,-0.0214565
483,-4.517,-0.0179788
484,-4.516,-0.0197176
485,-4.515,-0.0162399
486,-4.514,-0.0162399
487,-4.513,-0.0145011
488,-4.512,-0.0145011
489,-4.511,-0.0145011
490,-4.51,-0.0110234
491,-4.509,-0.0110234
492,-4.508,-0.0110234
493,-4.507,-0.00754569
494,-4.506,-0.00406799
495,-4.505,-0.00406799
496,-4.504,-0.00232914
497,-4.503,-0.000590291
498,-4.502,0.00114856
499,-4.501,0.00288741
500,-4.5,0.00462626
501,-4.499,0.00636511
502,-4.498,0.00810396
503,-4.497,0.00810396
504,-4.496,0.0115817
505,-4.495,0.0133205
506,-4.494,0.0150594
507,-4.493,0.0150594
508,-4.492,0.0150594
509,-4.491,0.0202759
510,-4.49,0.0202759
511,-4.489,0.0220148
512,-4.488,0.0220148
513,-4.487,0.0237536
514,-4.486,0.0220148
515,-4.485,0.0254925
516,-4.484,0.0254925
517,-4.483,0.0254925
518,-4.482,0.0237536
519,-4.481,0.0272313
520,-4.48,0.0272313
521,-4.479,0.0272313
522,-4.478,0.0272313
523,-4.477,0.0272313
524,-4.476,0.0272313
525,-4.475,0.0272313
526,-4.474,0.0272313
527,-4.473,0.0272313
528,-4.472,0.0272313
529,-4.471,0.0272313
530,-4.47,0.0254925
531,-4.469,0.0254925
532,-4.468,0.0254925
533,-4.467,0.0237536
534,-4.466,0.0237536
535,-4.465,0.0237536
536,-4.464,0.0202759
537,-4.463,0.0220148
538,-4.462,0.0167982
539,-4.461,0.0167982
540,-4.46,0.0167982
541,-4.459,0.0133205
542,-4.458,0.0133205
543,-4.457,0.0133205
544,-4.456,0.0115817
545,-4.455,0.00810396
546,-4.454,0.00810396
547,-4.453,0.00636511
548,-4.452,0.00636511
549,-4.451,0.00462626
550,-4.45,0.00114856
551,-4.449,0.00114856
552,-4.448,-0.000590291
553,-4.447,-0.000590291
554,-4.446,-0.00406799
555,-4.445,-0.00406799
556,-4.444,-0.00406799
557,-4.443,-0.00928454
558,-4.442,-0.00754569
559,-4.441,-0.0110234
560,-4.44,-0.00928454
561,-4.439,-0.00928454
562,-4.438,-0.0127622
563,-4.437,-0.0110234
564,-4.436,-0.0110234
565,-4.435,-0.0110234
566,-4.434,-0.0110234
567,-4.433,-0.0110234
568,-4.432,-0.0110234
569,-4.431,-0.0110234
570,-4.43,-0.0110234
571,-4.429,-0.0110234
572,-4.428,-0.0110234
573,-4.427,-0.0110234
574,-4.426,-0.0110234
575,-4.425,-0.0110234
576,-4.424,-0.00928454
577,-4.423,-0.00928454
578,-4.422,-0.00928454
579,-4.421,-0.00928454
580,-4.42,-0.00754569
581,-4.419,-0.00754569
582,-4.418,-0.00754569
583,-4.417,-0.00754569
584,-4.416,-0.00928454
585,-4.415,-0.00928454
586,-4.414,-0.00928454
587,-4.413,-0.0110234
588,-4.412,-0.0110234
589,-4.411,-0.0145011
590,-4.41,-0.0145011
591,-4.409,-0.0162399
592,-4.408,-0.0162399
593,-4.407,-0.0197176
594,-4.406,-0.0231954
595,-4.405,-0.0249342
596,-4.404,-0.0266731
597,-4.403,-0.0284119
598,-4.402,-0.0336285
599,-4.401,-0.0353673
600,-4.4,-0.0371062
601,-4.399,-0.0405839
602,-4.398,-0.0423227
603,-4.397,-0.0440616
604,-4.396,-0.0458004
605,-4.395,-0.0475393
606,-4.394,-0.0475393
607,-4.393,-0.0475393
608,-4.392,-0.0475393
609,-4.391,-0.051017
610,-4.39,-0.051017
611,-4.389,-0.0492781
612,-4.388,-0.0492781
613,-4.387,-0.0492781
614,-4.386,-0.0492781
615,-4.385,-0.0458004
616,-4.384,-0.0458004
617,-4.383,-0.0440616
618,-4.382,-0.0423227
619,-4.381,-0.0423227
620,-4.38,-0.0405839
621,-4.379,-0.038845
622,-4.378,-0.0371062
623,-4.377,-0.0353673
624,-4.376,-0.0301508
625,-4.375,-0.0301508
626,-4.374,-0.0284119
627,-4.373,-0.0284119
628,-4.372,-0.0249342
629,-4.371,-0.0249342
630,-4.37,-0.0231954
631,-4.369,-0.0231954
632,-4.368,-0.0231954
633,-4.367,-0.0214565
634,-4.366,-0.0214565
635,-4.365,-0.0214565
636,-4.364,-0.0197176
637,-4.363,-0.0197176
638,-4.362,-0.0197176
639,-4.361,-0.0197176
640,-4.36,-0.0197176
641,-4.359,-0.0197176
642,-4.358,-0.0197176
643,-4.357,-0.0197176
644,-4.356,-0.0214565
645,-4.355,-0.0214565
646,-4.354,-0.0214565
647,-4.353,-0.0231954
648,-4.352,-0.0231954
649,-4.351,-0.0249342
650,-4.35,-0.0249342
651,-4.349,-0.0266731
652,-4.348,-0.0266731
653,-4.347,-0.0266731
654,-4.346,-0.0301508
655,-4.345,-0.0284119
656,-4.344,-0.0284119
657,-4.343,-0.0284119
658,-4.342,-0.0284119
659,-4.341,-0.0284119
660,-4.34,-0.0284119
661,-4.339,-0.0284119
662,-4.338,-0.0284119
663,-4.337,-0.0249342
664,-4.336,-0.0249342
665,-4.335,-0.0249342
666,-4.334,-0.0214565
667,-4.333,-0.0197176
668,-4.332,-0.0197176
669,-4.331,-0.0179788
670,-4.33,-0.0162399
671,-4.329,-0.0162399
672,-4.328,-0.0127622
673,-4.327,-0.0110234
674,-4.326,-0.0110234
675,-4.325,-0.00928454
676,-4.324,-0.00928454
677,-4.323,-0.00406799
678,-4.322,-0.00232914
679,-4.321,-0.00232914
680,-4.32,-0.00232914
681,-4.319,0.00114856
682,-4.318,0.00114856
683,-4.317,0.00114856
684,-4.316,0.00462626
685,-4.315,0.00288741
686,-4.314,0.00636511
687,-4.313,0.00636511
688,-4.312,0.00636511
689,-4.311,0.00636511
690,-4.31,0.00810396
691,-4.309,0.00810396
692,-4.308,0.00810396
693,-4.307,0.00810396
694,-4.306,0.00810396
695,-4.305,0.00810396
696,-4.304,0.00810396
697,-4.303,0.00810396
698,-4.302,0.00810396
699,-4.301,0.00810396
700,-4.3,0.00810396
701,-4.299,0.00810396
702,-4.298,0.00636511
703,-4.297,0.00636511
704,-4.296,0.00636511
705,-4.295,0.00462626
706,-4.294,0.00462626
707,-4.293,0.00462626
708,-4.292,0.00462626
709,-4.291,0.00114856
710,-4.29,0.00114856
711,-4.289,0.00114856
712,-4.288,-0.000590291
713,-4.287,-0.000590291
714,-4.286,-0.00232914
715,-4.285,-0.00232914
716,-4.284,-0.00406799
717,-4.283,-0.00406799
718,-4.282,-0.00754569
719,-4.281,-0.00754569
720,-4.28,-0.00754569
721,-4.279,-0.00754569
722,-4.278,-0.00754569
723,-4.277,-0.00928454
724,-4.276,-0.00406799
725,-4.275,-0.00406799
726,-4.274,-0.00406799
727,-4.273,-0.00406799
728,-4.272,-0.00232914
729,-4.271,-0.00232914
730,-4.27,-0.00232914
731,-4.269,0.00114856
732,-4.268,0.00288741
733,-4.267,0.00288741
734,-4.266,0.00462626
735,-4.265,0.00636511
736,-4.264,0.00984281
737,-4.263,0.0133205
738,-4.262,0.0133205
739,-4.261,0.0150594
740,-4.26,0.0202759
741,-4.259,0.0220148
742,-4.258,0.0254925
743,-4.257,0.0254925
744,-4.256,0.0272313
745,-4.255,0.0289702
746,-4.254,0.030709
747,-4.253,0.030709
748,-4.252,0.0341867
749,-4.251,0.0341867
750,-4.25,0.0359256
751,-4.249,0.0359256
752,-4.248,0.0376644
753,-4.247,0.0376644
754,-4.246,0.0376644
755,-4.245,0.0376644
756,-4.244,0.0376644
757,-4.243,0.0359256
758,-4.242,0.0359256
759,-4.241,0.0359256
760,-4.24,0.0324479
761,-4.239,0.0341867
762,-4.238,0.030709
763,-4.237,0.030709
764,-4.236,0.030709
765,-4.235,0.0272313
766,-4.234,0.0272313
767,-4.233,0.0272313
768,-4.232,0.0237536
769,-4.231,0.0254925
770,-4.23,0.0220148
771,-4.229,0.0220148
772,-4.228,0.0220148
773,-4.227,0.0202759
774,-4.226,0.0202759
775,-4.225,0.0167982
776,-4.224,0.0167982
777,-4.223,0.0167982
778,-4.222,0.0133205
779,-4.221,0.0150594
780,-4.22,0.0133205
781,-4.219,0.0133205
782,-4.218,0.0133205
783,-4.217,0.0133205
784,-4.216,0.00984281
785,-4.215,0.0115817
786,-4.214,0.0115817
787,-4.213,0.0115817
788,-4.212,0.0115817
789,-4.211,0.00810396
790,-4.21,0.00984281
791,-4.209,0.00984281
792,-4.208,0.00984281
793,-4.207,0.00984281
794,-4.206,0.00984281
795,-4.205,0.00984281
796,-4.204,0.00984281
797,-4.203,0.00984281
798,-4.202,0.00984281
799,-4.201,0.00984281
800,-4.2,0.00984281
801,-4.199,0.00984281
802,-4.198,0.0115817
803,-4.197,0.0115817
804,-4.196,0.0115817
805,-4.195,0.0115817
806,-4.194,0.0115817
807,-4.193,0.0115817
808,-4.192,0.0115817
809,-4.191,0.0115817
810,-4.19,0.0115817
811,-4.189,0.0115817
812,-4.188,0.0115817
813,-4.187,0.0115817
814,-4.186,0.0133205
815,-4.185,0.0133205
816,-4.184,0.0133205
817,-4.183,0.0133205
818,-4.182,0.0133205
819,-4.181,0.0133205
820,-4.18,0.0133205
821,-4.179,0.0133205
822,-4.178,0.0115817
823,-4.177,0.0115817
824,-4.176,0.0115817
825,-4.175,0.0115817
826,-4.174,0.00810396
827,-4.173,0.00984281
828,-4.172,0.00636511
829,-4.171,0.00810396
830,-4.17,0.00462626
831,-4.169,0.00462626
832,-4.168,0.00462626
833,-4.167,0.00288741
834,-4.166,0.00288741
835,-4.165,0.00288741
836,-4.164,-0.000590291
837,-4.163,0.00114856
838,-4.162,0.00114856
839,-4.161,0.00114856
840,-4.16,0.00114856
841,-4.159,0.00114856
842,-4.158,0.00114856
843,-4.157,0.00114856
844,-4.156,0.00114856
845,-4.155,0.00114856
846,-4.154,0.00114856
847,-4.153,0.00114856
848,-4.152,0.00114856
849,-4.151,0.00114856
850,-4.15,-0.000590291
851,-4.149,0.00288741
852,-4.148,0.00288741
853,-4.147,0.00288741
854,-4.146,0.00462626
855,-4.145,0.00462626
856,-4.144,0.00462626
857,-4.143,0.00810396
858,-4.142,0.00810396
859,-4.141,0.00810396
860,-4.14,0.0115817
861,-4.139,0.0133205
862,-4.138,0.0150594
863,-4.137,0.0150594
864,-4.136,0.0167982
865,-4.135,0.0167982
866,-4.134,0.0220148
867,-4.133,0.0237536
868,-4.132,0.0237536
869,-4.131,0.0254925
870,-4.13,0.0254925
871,-4.129,0.0272313
872,-4.128,0.0272313
873,-4.127,0.0289702
874,-4.126,0.0289702
875,-4.125,0.0289702
876,-4.124,0.0272313
877,-4.123,0.030709
878,-4.122,0.030709
879,-4.121,0.030709
880,-4.12,0.0289702
881,-4.119,0.0289702
882,-4.118,0.0289702
883,-4.117,0.0289702
884,-4.116,0.0272313
885,-4.115,0.0272313
886,-4.114,0.0272313
887,-4.113,0.0237536
888,-4.112,0.0254925
889,-4.111,0.0237536
890,-4.11,0.0237536
891,-4.109,0.0202759
892,-4.108,0.0220148
893,-4.107,0.0167982
894,-4.106,0.0167982
895,-4.105,0.0167982
896,-4.104,0.0150594
897,-4.103,0.0150594
898,-4.102,0.0115817
899,-4.101,0.0133205
900,-4.1,0.0115817
901,-4.099,0.0115817
902,-4.098,0.0115817
903,-4.097,0.00984281
904,-4.096,0.00984281
905,-4.095,0.00984281
906,-4.094,0.00984281
907,-4.093,0.00984281
908,-4.092,0.00810396
909,-4.091,0.00810396
910,-4.09,0.00810396
911,-4.089,0.00810396
912,-4.088,0.00810396
913,-4.087,0.00810396
914,-4.086,0.00810396
915,-4.085,0.00462626
916,-4.084,0.00636511
917,-4.083,0.00636511
918,-4.082,0.00462626
919,-4.081,0.00462626
920,-4.08,0.00462626
921,-4.079,0.00288741
922,-4.078,0.00288741
923,-4.077,0.00114856
924,-4.076,0.00114856
925,-4.075,-0.000590291
926,-4.074,-0.00406799
927,-4.073,-0.00406799
928,-4.072,-0.00754569
929,-4.071,-0.00928454
930,-4.07,-0.0110234
931,-4.069,-0.0127622
932,-4.068,-0.0127622
933,-4.067,-0.0145011
934,-4.066,-0.0162399
935,-4.065,-0.0197176
936,-4.064,-0.0197176
937,-4.063,-0.0197176
938,-4.062,-0.0231954
939,-4.061,-0.0231954
940,-4.06,-0.0231954
941,-4.059,-0.0231954
942,-4.058,-0.0249342
943,-4.057,-0.0249342
944,-4.056,-0.0266731
945,-4.055,-0.0231954
946,-4.054,-0.0231954
947,-4.053,-0.0231954
948,-4.052,-0.0231954
949,-4.051,-0.0231954
950,-4.05,-0.0197176
951,-4.049,-0.0197176
952,-4.048,-0.0197176
953,-4.047,-0.0162399
954,-4.046,-0.0145011
955,-4.045,-0.0127622
956,-4.044,-0.0110234
957,-4.043,-0.0110234
958,-4.042,-0.00928454
959,-4.041,-0.00754569
960,-4.04,-0.00406799
961,-4.039,-0.00232914
962,-4.038,-0.000590291
963,-4.037,0.00114856
964,-4.036,0.00288741
965,-4.035,0.00288741
966,-4.034,0.00636511
967,-4.033,0.00810396
968,-4.032,0.00810396
969,-4.031,0.00984281
970,-4.03,0.00984281
971,-4.029,0.0133205
972,-4.028,0.0133205
973,-4.027,0.0150594
974,-4.026,0.0133205
975,-4.025,0.0167982
976,-4.024,0.0167982
977,-4.023,0.0167982
978,-4.022,0.0167982
979,-4.021,0.0167982
980,-4.02,0.0167982
981,-4.019,0.0167982
982,-4.018,0.0167982
983,-4.017,0.0167982
984,-4.016,0.0167982
985,-4.015,0.0167982
986,-4.014,0.0167982
987,-4.013,0.0133205
988,-4.012,0.0150594
989,-4.011,0.0150594
990,-4.01,0.0150594
991,-4.009,0.0150594
992,-4.008,0.0150594
993,-4.007,0.0150594
994,-4.006,0.0150594
995,-4.005,0.0150594
996,-4.004,0.0150594
997,-4.003,0.0133205
998,-4.002,0.0133205
999,-4.001,0.0133205
1000,-4,0.0115817
1001,-3.999,0.0115817
1002,-3.998,0.0115817
1003,-3.997,0.00984281
1004,-3.996,0.00984281
1005,-3.995,0.00636511
1006,-3.994,0.00810396
1007,-3.993,0.00462626
1008,-3.992,0.00462626
1009,-3.991,0.00462626
1010,-3.99,0.00288741
1011,-3.989,0.00114856
1012,-3.988,-0.00232914
1013,-3.987,-0.00232914
1014,-3.986,-0.00406799
1015,-3.985,-0.00754569
1016,-3.984,-0.00928454
1017,-3.983,-0.0110234
1018,-3.982,-0.0110234
1019,-3.981,-0.0127622
1020,-3.98,-0.0145011
1021,-3.979,-0.0179788
1022,-3.978,-0.0179788
1023,-3.977,-0.0179788
1024,-3.976,-0.0214565
1025,-3.975,-0.0214565
1026,-3.974,-0.0214565
1027,-3.973,-0.0249342
1028,-3.972,-0.0231954
1029,-3.971,-0.0266731
1030,-3.97,-0.0249342
1031,-3.969,-0.0284119
1032,-3.968,-0.0266731
1033,-3.967,-0.0301508
1034,-3.966,-0.0301508
1035,-3.965,-0.0301508
1036,-3.964,-0.0301508
1037,-3.963,-0.0301508
1038,-3.962,-0.0353673
1039,-3.961,-0.0353673
1040,-3.96,-0.0353673
1041,-3.959,-0.0353673
